"Kdm5d"	"Eif2s3y"	"Uty"	"Ddx3y"	"Usp9y"
"ZT_0_1_exon"	1.51737992231193	3.02610144953925	1.35210113171516	3.73702069599336	-4.32192809488736
"ZT_2_1_exon"	1.81264936114785	3.78141234904394	1.57019772070636	4.05580333586233	-4.32192809488736
"ZT_4_1_exon"	1.58624410427643	3.06144730124664	1.30287071343989	3.60657980507963	-4.32192809488736
"ZT_6_1_exon"	1.950120290075	3.70659520068124	1.52774843039045	4.31879441471692	-4.32192809488736
"ZT_8_1_exon"	1.67086780739196	3.69244845988739	1.51562220683335	4.2681934102508	-2.98859086945602
"ZT_10_1_exon"	1.74049044362648	3.63004399249185	1.56116372621708	4.55306415226913	-4.32192809488736
"ZT_12_1_exon"	1.39357451006478	3.36509681762924	1.0499446541312	3.72545667716638	-4.32192809488736
"ZT_14_1_exon"	1.31836653349782	3.29789956286911	0.913149286078431	3.74828869583565	-4.32192809488736
"ZT_16_1_exon"	1.4427017087973	3.42156230171764	1.39613598640362	4.01500061746776	-4.32192809488736
"ZT_18_1_exon"	1.44275407297264	3.31926949207963	1.12207438402803	3.56647649479111	-4.32192809488736
"ZT_20_1_exon"	1.80002312207853	3.61306533008236	1.1731528706075	3.82792750769941	-4.32192809488736
"ZT_22_1_exon"	1.71591569772423	3.33457722654644	1.23680593889505	3.98891846324307	-4.32192809488736
"ZT_0_2_exon"	1.74130532278462	3.40373934461195	1.39782977239877	3.72140010994175	-4.32192809488736
"ZT_2_2_exon"	1.71275451520824	3.14648601539064	1.16873841650318	3.5494803728174	-4.32192809488736
"ZT_4_2_exon"	1.72255041288708	3.35971087932432	1.41047806828718	3.98281068032173	-4.32192809488736
"ZT_6_2_exon"	1.80746247786837	3.56814647674615	1.49531049306504	4.23694988178141	-4.32192809488736
"ZT_8_2_exon"	1.82421785799684	3.83878371364026	1.58007752073268	4.53492286257281	-4.32192809488736
"ZT_10_2_exon"	1.88783530575155	3.84175615304501	1.48474702683644	4.28327266203148	-4.32192809488736
"ZT_12_2_exon"	1.51165034614296	3.63449127378692	1.04357040608905	3.91964379701951	-4.32192809488736
"ZT_14_2_exon"	1.59189820666109	3.71033303605269	1.27603729494432	4.05224657655287	-4.32192809488736
"ZT_16_2_exon"	1.48597531972851	3.38704071731372	1.04542949390996	3.63467792604205	-4.32192809488736
"ZT_18_2_exon"	1.35556339737802	3.12167372183236	0.980193548118163	3.43489110224475	-4.32192809488736
"ZT_20_2_exon"	1.44428976160744	3.25776916485947	1.18462365272994	3.73903570623031	-4.32192809488736
"ZT_22_2_exon"	1.56744691696946	3.33369701912256	1.23278266540386	3.55253023319368	-4.32192809488736
